Description,Part Number,Quantity,URL
RTC,MCP79510T-I/MS,1,https://www.digikey.com/en/products/detail/microchip-technology/MCP79510T-I-MS/3177022
Crystal Tuning Fork,VT200F-6PF20PPM,1,https://www.digikey.com/en/products/detail/seiko-instruments/VT200F-6PF20PPM/1626715
Buck Converter ,L6902D013TR,2,https://www.digikey.com/en/products/detail/stmicroelectronics/L6902D013TR/1037941
Screw Terminal (4 port),1935187,4,https://www.digikey.com/en/products/detail/phoenix-contact/1935187/568616
Screw Terminal (2 port),691137710002,2,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/691137710002/6644051
Laptop Charger ,n/a,1,https://www.amazon.com/Govolia-Charger-Compatible-Business-Convenient/dp/B081C8TRLP/ref=sr_1_1_sspa?crid=2DL7GC4J8HODD&dib=eyJ2IjoiMSJ9.gUO773oihY7dt5eBcwmKQUvHJ4i-4i9GDhM71CDMVB1qnGulYlYLkcv1ReQ1LQo0h4lmzfXc-shV1ErcCxMMIrN9Iw2cRo6pgCx7NwjC1XEMXT_5iX_3K6po3oSvbjRwP2ch-dAmFuF6MDbiWBm1by9eQxsAWbAW-kLEVvSOkJiJSdCK5pXOix_iavdM5mKlKB82WDNEuR_3ZBZ3FG8Rs45-QACcvo6jPFOaLTnn43I.tawfP6BdWshOg14Qx3yEBc5e8xAWcIY3YW1rfyPgyCg&dib_tag=se&keywords=laptop+charger+barrel+jack+65w+hp&qid=1769646650&sprefix=laptop+charger+barrel+jack+65w+hp%2Caps%2C137&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
"Diode, 3A Schottky",MBRS360T3G,2,https://www.digikey.com/en/products/detail/onsemi/MBRS360T3G/918646?s=N4IgTCBcDaILICEBKBlAzANgAwBU0HEQBdAXyA
Current Sensor,ACS725LLCTR-05AB-T,2,https://www.digikey.com/en/products/detail/allegro-microsystems/ACS725LLCTR-05AB-T/10498747?_gl=1*hqi78s*_up*MQ..*_gs*MQ..&gclid=Cj0KCQiAhOfLBhCCARIsAJPiopNevsosS1163ZxSTgSzdR-KgblBFylWypOz3KVgGVE36irMqaFR7d4aAvWeEALw_wcB&gclsrc=aw.ds&gbraid=0AAAAADrbLlj3EIe5-K8IoPILdS5uniYIU
0.1 uF/100nF - 0805,CL21B104KBCNNNC,7,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661
1 nF - 0805,C0805C102J5GACTU,5,https://www.digikey.com/en/products/detail/kemet/C0805C102J5GACTU/411135
